osm_id;ort;plz;bundesland;eintrag
419002;Aue;08280;Sachsen;Weltklasse
539909;Auel;56357;Rheinland-Pfalz;Weltklasse
1244153;Auen;55569;Rheinland-Pfalz;Weltklasse
1263898;Auengrund;98673;Thüringen;Weltklasse
400935;Auenwald;71549;Baden-Württemberg;Weltklasse
444398;Auerbach;08209;Sachsen;Weltklasse
536016;Auerbach;09392;Sachsen;Weltklasse
959825;Auerbach;94530;Bayern;Weltklasse
1028547;Auerbach in der Oberpfalz;91275;Bayern;Weltklasse
1169353;Auetal;31749;Niedersachsen;Weltklasse
966625;Aufhausen;93089;Bayern;Weltklasse
1070999;Aufseß;91347;Bayern;Weltklasse
1965078;Auggen;79424;Baden-Württemberg;Weltklasse
62407;Augsburg;86150;Bayern;Weltklasse
62407;Augsburg;86152;Bayern;Weltklasse
62407;Augsburg;86153;Bayern;Weltklasse
62407;Augsburg;86154;Bayern;Weltklasse
62407;Augsburg;86156;Bayern;Weltklasse
62407;Augsburg;86157;Bayern;Weltklasse
62407;Augsburg;86159;Bayern;Weltklasse
62407;Augsburg;86161;Bayern;Weltklasse
